# ETF 板块增强池
# 格式：CODE SECTOR_TAG（tag 对齐 tushare 行业名，用于 L3 板块共振加分）

# ---- 行业 ETF ----
512880 证券
512010 化学制药
512800 银行
515030 汽车配件
515790 电气设备
159869 互联网
512690 白酒
512200 全国地产
515220 煤炭开采
512400 小金属
159870 化工原料
515210 普钢
512170 医疗保健
516160 电气设备
159825 农业综合
515050 通信设备
515000 软件服务
159996 家用电器
512660 航空
512480 半导体
159995 半导体
515070 软件服务
562500 专用机械
516630 小金属
159611 火力发电

# ---- 跨境 ETF ----
513100 纳指100
513050 中概互联
513060 恒生医疗
513180 恒生科技
159920 恒生指数
513010 恒生科技
513500 标普500
513520 日经225
513880 日经225
164824 印度基金
513660 恒生消费
